variant,nodes,mean_alerts_per_hour,mean_ctrl_pkts_per_hour
B1,1,0.00,4.78
B1,2,0.00,4.74
B1,3,0.00,4.83
B1,4,0.00,6.05
B1,5,0.00,4.81
B1,6,0.00,2.75
B1,7,0.00,5.50
B1,8,0.00,4.60
B1,9,0.00,4.67
B1,10,0.00,5.17
B1,11,0.00,5.35
B1,12,0.00,6.75
B1,13,0.00,5.98
B1,14,0.00,5.17
B1,15,0.00,3.89
B1,16,0.00,3.48
B1,17,0.00,5.37
B1,18,0.00,6.97
B1,19,0.00,5.06
B1,20,0.00,4.84
B1,21,0.00,5.80
B1,22,0.00,2.82
B1,23,0.00,4.53
B1,24,0.00,5.74
B1,25,0.00,6.31
B1,26,0.00,4.64
B1,27,0.00,5.56
B1,28,0.00,5.37
B1,29,0.00,6.17
B1,30,0.00,3.33
B1,31,0.00,5.85
B1,32,0.00,2.73
B1,33,0.00,1.07
B1,34,0.00,4.09
B1,35,0.00,3.63
B1,36,0.00,6.31
B1,37,0.00,6.00
B1,38,0.00,3.17
B1,39,0.00,6.27
B1,40,0.00,3.50
B1,41,0.00,4.87
B1,42,0.00,4.56
B1,43,0.00,5.17
B1,44,0.00,6.23
B1,45,0.00,5.96
B1,46,0.00,5.52
B1,47,0.00,5.97
B1,48,0.00,5.72
B1,49,0.00,4.06
B1,50,0.00,3.92
